course_name	course_title	course_description	course_subject	course_alternative_names
Japan 10	Intermediate Modern Japanese--Intensive	This course is the equivalent of Japan 10A and Japan 10B offered in the regular academic year. 	Japanese	Japanese 10 JAPAN10
Mec eng w85	Introduction to Solid Mechanics	A review of equilibrium for particles and rigid bodies. Application to truss structures. The concepts of deformation, strain, and stress. Equilibrium equations for a continuum. Elements of the theory of linear elasticity. The states of plane stress and plane strain. Solution of elementary elasticity problems (beam bending, torsion of circular bars). Euler buckling in elastic beams. 	Mechanical Engineering	Mechanical Engineering W85 MEC ENGW85
Pb hlth 141	Introduction to Biostatistics	An intensive introductory course in statistical methods used in applied research. Emphasis on principles of statistical reasoning, underlying assumptions, and careful interpretation of results. Topics covered: descriptive statistics, graphical displays of data, introduction to probability, expectations and variance of ramdom variables, confidence intervals and tests for means, differences of means, proportions, differences of proportions, chi-square tests for categorical variables, regression and multiple regression, an introduction to analysis of variance. Statistical software will be used to supplement hand calculation. This course may not be used to fulfill the Biostatistics course requirement for the MPH degree. 	Public Health	Public Health 141 PB HLTH141
Spanish 121	Contemporary Spanish History and Culture	Overview of events leading to 20th and 21st century political and social changes in Spanish society. Combines cultural activities inside and outside of the classroom (lectures, fieldtrips, visits to monuments and museums). Taught entirely in Spanish. Attendance and fieldtrips are mandatory. Upon completion students will have better understanding of contemporary Spain--how the past shaped the present and how the present deals with the past; cultural diversity and its contradictions; Spain and globalization. 	Spanish	Spanish 121 SPANISH121
Espm 105c	Silviculture and Utilization	Introduction to silvicultural theory, forest operations, and utilization and manufacture of forest products. Evaluation of silviculture for managing forest stands for multiple objectives including regeneration, stand density control, forest growth, genetic improvement, and prescribed burning. Introduction to harvest and access systems, wood structure and quality, and manufacture of forest product. Field trips and lectures to local areas illustrating different approaches to forest problems. 	Env Sci, Policy, & Mgmt	Env Sci, Policy, & Mgmt 105C ESPM105C
Educ n40ac	Experiencing Education:  Race and Ethnicity Inside Schools	Racial and ethnic minorities in American schools and colleges through case studies of African Americans, Mexican Americans, Native Americans, and selected Asian American groups. Policies, practices, ideologies, experiences, and outcomes will be analyzed and compared. 	Education	Education N40AC EDUCN40AC
Pol sci 140s	Selected Topics in Comparative Politics	See department web site for specific course offerings. 	Political Science	Political Science 140S POL SCI140S
Legalst 102	Policing and Society	This course examines the American social institution of policing with particular emphasis on urban law enforcement. It explores the social, economic, and cultural forces that pull policing in the direction of state legal authority and power as well as those that are a counter-weight to the concentration of policing powers in the state. Special attention is given to how policing shapes and is shaped by the urban landscape, legal to cultural. 	Legal Studies	Legal Studies 102 LEGALST102
Psych 6	Stress and Coping	This course is designed to provide students with an in-depth analysis of the various areas within the field of psychology that address topics related to stress and coping. In particular, we will cover the biological, social, personality, cognitive, and clinical factors that play a role in the development of stress and subsequent coping techniques that can be used to deal with stress. The class will have a strong focus on the empirical findings relating to the subject.	Psychology	Psychology 6 PSYCH6
Chm eng 197	Field Study in Chemical Engineering	Supervised experience in off-campus organizations relevant to specific aspects and applications of chemical engineering. Written report required at the end of the term. Course does not satisfy unit or residence requirements for the bachelor's degree. 	Chemical Engineering	Chemical Engineering 197 CHM ENG197
English n180z	Science Fiction	A survey of science fiction which includes both short stories and novels. The focus will be on the analysis of the texts and on the history and theory of the genre. 	English	English N180Z ENGLISHN180Z
Ugba 120ab	Intermediate Financial Accounting 2	This course expands students’ knowledge of the concepts, theory, and application of financial accounting. It continues the technical accounting sequence, which also includes UGBA 120AA, Intermediate Accounting 1 and UGBA 120B, Advanced Financial Accounting. Topics include an in-depth treatment of the financing elements of the balance sheet and the income statement, as well as a detailed examination of the statement of cash flows. 	Business Admin-Undergrad	Business Admin-Undergrad 120AB UGBA120AB
Educ 249c	Foundations in Reading (Learning from Text) for Secondary Schools	Introduction to reading and writing in secondary school settings, basic literacy skills, instructional materials and approaches, and assessment procedures appropriate for use in secondary content area courses. Learning from text theory to practice. 	Education	Education 249C EDUC249C
Linguis c147	Language Disorders	An introduction to experimental and theoretical research on language disorders, particularly acquired aphasia in adults. Major course themes include the relationship between normal and pathological language, and the usefulness of linguistic analysis for empirical research. Topics include phonetic, phonological, morphological, semantic, syntactic, and pragmatic aspects of language disorders in mono- and multilingual speakers of typologically diverse languages. 	Linguistics	Linguistics C147 LINGUISC147
Pol sci 123b	Special Topics in International Relations	See department web site for specific course offerings. 	Political Science	Political Science 123B POL SCI123B
Geog n50ac	California	"California had been called ""the great exception"" and ""America, only more so."" Yet few of us pay attention to its distinctive traits and to its effects beyond our borders. California may be ""a state of mind,"" but it is also the most dynamic place in the most powerful country in the world, and would be the 8th largest economy if it were a country. Its wealth has been built on mining, agriculture, industry, trade, and finance. Natural abundance and geographic advantage have played their parts, but the state's greatest resource has been its wealth and diversity of people, who have made it a center of technological and cultural innovation from Hollywood to Silicon Valley. Yet California has a dark side of exploitation and racialization."	Geography	Geography N50AC GEOGN50AC
Psych 7	The Person in Big Data	This course will introduce students to the basic principles and methods of personality and social psychology as applied to a rapidly growing topic of modern society--the collection and analysis of online social “big data.” Students will learn about the ways in which big data has historically been defined, collected, and utilized, as well as fundamental concepts in person perception and social behavior that are relevant to topics of big data collection, analysis, and interpretation.	Psychology	Psychology 7 PSYCH7
Pol sci 197	Field Study in Political Science	Supervised experience relevant to specific aspects of Political Science in off-campus organizations. Regular individual meetings with faculty sponsor and written reports required. 	Political Science	Political Science 197 POL SCI197
Soc wel 272	Social Work Practice with Ethnic Minority Populations	This service learning course is a comprehensive, integrated learning program conducted in Mexico. Through continuous cross-cultural immersion, Latino and non-Latino social work students build language skills; study culturally informed and derived engagement and intervention practices; and acquire competencies relevant to preparation for providing social welfare services to Latino clients. Ultimately, social work students will gain a transnational perspective that will shape their approach to providing services to Latino communities in the U.S.  Includes lectures given by local academics, mental health professionals, community members and indigenous healers; language instruction; field placement/service learning; and an integration seminar.	Social Welfare	Social Welfare 272 SOC WEL272
Xmba 295d	New Venture Finance	This is a course about financing new entrepreneurial ventures, emphasizing those that have the possibility of creating a national or international impact or both. It will take two perspectives--the entrepreneur's and the investor's--and it will place a special focus on the venture capital process, including how they are formed and managed, accessing the public markets, mergers, and strategic alliances. 	Executive MBA	Executive MBA 295D XMBA295D
Soc wel 105	Current Topics in Social Welfare	This course introduces students to the purpose, functions, and programs of the public child welfare system in the United States, with a particular focus on California, in a historical context, and with an emphasis on social justice and diversity concerns in policy-making and service delivery. The course explores U.S. child welfare history/historical traumas, cultural and diversity issues, ethical considerations, mandated reporting of suspected child maltreatment, family and kinship supports, allied community services, causes for child removals and returns to families, judicial involvement, sibling-group placements, foster care, emancipation from the system, first-person guest speaker accounts, and policy-level interventions.	Social Welfare	Social Welfare 105 SOC WEL105
History n131b	Social History of the United States: 1914-Present	The nature and development of social and economic institutions; class, family, and racial relationships; sex roles; and cultural norms in the United States. 	History	History N131B HISTORYN131B
Ias 196	Special Field Research	Students to work in internship programs selected and approved in advance by the faculty advisory committee and for which volunteer agreements have been established between the sponsoring organization and the student. Students will be expected to produce two brief progress reports for their faculty advisor during the course of the interniship, as well as produce a final capstone piece for the course consisting of no fewer than 25 pages. The capstone paper will be graded A-F and judged on the same scholastic merits as a seminar or honors course. If taken on a P/NP basis, the established C+ standard will apply. The course is only available to students in the Global Poverty and Practice minor. Other International Area Studies majors may enroll if approved by their respective faculty chair. 	International & Area Stds	International & Area Stds 196 IAS196
Philos 110	Aesthetics	Visual arts/literature and music. Form, expression, representation style; interpretation and evaluation. 	Philosophy	Philosophy 110 PHILOS110
Colwrit 9w	English for Specific Purposes: English for Speech and Debate	Aimed at intermediate-advanced multilingual students, this course presents the basics of speech and debate. Students will learn to construct basic arguments, work on speaking style, watch sample speeches and debates, write speeches, and participate in Parliamentary-style debates. In completing course assignments, students will have the opportunity to practice and improve all aspects of their oral skills in English. Course includes a fieldwork component. Multiple sections: placement based on Day 1 assessment.	College Writing Programs	College Writing Programs 9W COLWRIT9W
Colwrit 9v	Science and Engineering English for Multilingual Students	This course is designed to help students improve English speaking and writing skills essential for functioning well in academic and professional science and engineering activities. A significant portion of the course is devoted to developing the style, vocabulary, and grammar used most frequently in technical communication. Course includes a fieldwork component. Multiple sections: placement based on Day 1 assessment of interests and needs. 	College Writing Programs	College Writing Programs 9V COLWRIT9V
Geog n20	Globalization	How and why are geographical patterns of employment, production, and consumption unstable in the contemporary world? What are the consequences of NAFTA, an expanded European Community, and post-colonial migration flows? How is global restructuring culturally reworked locally and nationally? 	Geography	Geography N20 GEOGN20
Music 128r	History of Jazz in America	A survey of jazz music from the 1920's through the 1980's covering the major stylistic periods, including the New Orleans and Chicago styles of the 1920's, big band jazz, bebop, hardbop, free jazz, fusion, and neo-classicism. Major innovators to be studies in depth include Louis Armstrong, Duke Ellington, Lester Young, Billie Holiday, Charlie Parker, Thelonious Monk, Miles Davis, John Coltrane, and Ornette Coleman. 	Music	Music 128R MUSIC128R
Ugba 151	Management of Human Resources	The designs of systems of rewards, assessment, and manpower development. The interaction of selection, placement, training, personnel evaluation, and career ladders within an on-going organization. Role of the staff manager. Introduction of change. Implications of behavioral research for management problems and policies. 	Business Admin-Undergrad	Business Admin-Undergrad 151 UGBA151
Ne stud 146	Islam	This course aims at introducing students to some of the most important features of the Islamic religious tradition. The main subjects of discussion include life of Muhammad, the Quran, Tradition, Law, Sufism, Theology, Philosophy, and Politics. The course will cover both medieval and modern Islam and will touch upon all major sects. In reference to the modern period, particular emphasis will fall on the relationship of medieval and modern interpretations and on the emergence of “political” and “liberal” Islam with reference to the history of the modern Middle East. Students will also be exposed to important theories and methods in the academic study of the discipline.   	Near Eastern Studies	Near Eastern Studies 146 NE STUD146
Colwrit 9a	Academic Research for Multilingual Students	This course introduces the basic terminology, techniques, and strategies necessary for academic research in American universities. Students will refine topics; evaluate/use outside sources to support claims; practice citation, summary, and paraphrasing skills; and write multiple drafts. Each section will craft literature reviews and research on a specific theme; each student can approach the theme within the framework of his or her discipline or interest. Course includes a fieldwork component. 	College Writing Programs	College Writing Programs 9A COLWRIT9A
Xmba 200c	Leadership Communication	Leadership Communication is a workshop in the fundamentals of public speaking in today's business environment. Through prepared and impromptu speeches aimed at moving others to action, peer coaching, and lectures, students will sharpen their authentic and persuasive communication skills, develop critical listening skills, improve abilities to give, receive, and apply feedback, and gain confidence as public speakers. 	Executive MBA	Executive MBA 200C XMBA200C
Datasci w203	Exploring and Analyzing Data	This course provides students with a foundational understanding of classical statistics within the broader context of data science. Topics include exploratory analysis and descriptive statistics, probability theory and the foundations of statistical modeling, estimators, hypothesis testing, and classical linear regression. Causal inference and reproducibility issues are treated briefly. Students will learn to apply the most common statistical procedures correctly, checking assumptions and responding appropriately when they appear violated; to evaluate the design of a study and how the variables being measured relate to research questions; and to analyze real-world data using the open-source language R.	Data Science	Data Science W203 DATASCIW203
Classic n28	The Classic Myths	The society, culture, values and outlook on life of the ancient Greeks as expressed in their mythology; their views on life, birth, marriage, death, sex and sexuality; on culture and civilization, the origin and meaning of the world. Their use of myth to think about, and give order to human experience. The course includes some of the most important works of Western literature in English translation (the 'Odyssey', the 'Theogony'), twelve plays by leading Greek dramatists (Aeschylus, Sophocles and Euripides), along with their historical and religious context, as well as drawing on material evidence (vase paintings, sculpture, archaeological sites). 	Classics	Classics N28 CLASSICN28
Pb hlth 220	Health Policy Decision-Making	Introduction to federal-level health policy and analysis of government capacity in addressing major issues in health policy. The course explores structural impediments to reform in the US, regulatory decision-making -- particularly decision-making under conditions of uncertainty, and basic tools of policy analysis. Students will apply these tools in a seminar paper that analyzes a proposed or existing health policy or program. 	Public Health	Public Health 220 PB HLTH220
Educ 460a	Practicum in School Site Management I	Supervised field experience, conferences, and colloquium. 	Education	Education 460A EDUC460A
Xmba 255	Leadership	In this advanced elective course, students analyze recent literature and developments related to such topics as organization development, environmental determinants of organization structure and decision-making behavior, management of professionals, management in temporary structures, cross-cultural studies of management organizations, and industrial relation systems and practices. 	Executive MBA	Executive MBA 255 XMBA255
Pb hlth 220d	Health Policy Advocacy	A graduate seminar in practice-based means to advocate for health policy. This course focuses on data based strategies using persuasive written and oral communication skills necessary to preserve and/or improve the health status of populations. Students will develop research, organization, and coalition-building skills necessary to produce an effective advocacy campaign. The course identifies the roles of those involved in the making of policy and demonstrates the use of appropriate channels and technologies to influence health policy change. 	Public Health	Public Health 220D PB HLTH220D
Educ 290a	Policy, Organization, Measurement, and Evaluation		Education	Education 290A EDUC290A
Xmba 236e	Mergers and Acquisitions	Survey of the day-to-day practices and techniques used in change of control transaction. Topics include valuation, financing, deal structuring, tax and accounting considerations, agreements, closing documents, practices used in management buyouts, divestitures, hostile takeovers, and takeover defenses. Also covers distinctions in technology M&A, detecting corruption in cross border transaction attempts, and betting on deals through risk arbitrage. Blend of lecture, case study, and guest lectures. 	Executive MBA	Executive MBA 236E XMBA236E
Info 271b	Quantitative Research Methods for Information Systems and Management	Introduction to many different types of quantitative research methods, with an emphasis on linking quantitative statistical techniques to real-world research methods. Introductory and intermediate topics include: defining research problems, theory testing, casual inference, probability, and univariate statistics. Research design and methodology topics include: primary/secondary survey data analysis, experimental designs, and coding qualitative data for quantitative analysis. 	Information	Information 271B INFO271B
Pb hlth 227a	Health Care Finance	This course covers finance and strategic financial management in the health services and products industry, including provider organizations, insurance firms, and biopharmaceutical and medical device companies. Cases are used to apply the financial analysis and planning skills learned in the course. Topic areas include financial statement analysis, pricing and service decisions, debt financing, venture capital, and private equity, IPO and public equity markets, risk and return, capital budgeting and project risk assessment, mergers and acquisitions, vertical and horizontal integration. 	Public Health	Public Health 227A PB HLTH227A
Mat sci 200a	Survey of Materials Science	A survey of Materials Science at the beginning graduate level, intended for those who did not major in the field as undergraduates. Focus on the nature of microstructure and its manipulation and control to determine engineering properties. Reviews bonding, structure and microstructure, the chemical, electromagnetic and mechanical properties of materials, and introduces the student to microstructural engineering. 	Materials Science & Eng	Materials Science & Eng 200A MAT SCI200A
Anthro 138a	History and Theory of Ethnographic Film	The course will trace the development of ethnographic film from its beginnings at the turn of the century to the present. In addition to looking at seminal works in the field, more recent and innovative productions will be viewed and analyzed. Topics of interest include the role of visual media in ethnography, ethics in filmmaking, and the problematic relationship between seeing and believing. Requirements include film critiques, a film proposal, and a final exam. 	Anthropology	Anthropology 138A ANTHRO138A
Educ w140a	The Art of Making Meaning: Educational Perspectives on Literacy and Learning in a Global World	This course combines theory and practice in the study of literacy and development.  It will introduce sociocultural educational theory and research focused especially on literacy teaching and learning, and this literature will be examined in practice through participation in after-school programs.  In addition, the course will contribute to an understanding of how literacy is reflected in race, culture, and ethnicity in the United States and how these symbolic systems shift in a digital world.	Education	Education W140A EDUCW140A
Psych 205	Data Analysis	This course serves both as a refresher for undergraduate statistics and as a preparation for more advanced courses. This course will cover fundamental principles of statistical thinking including probability theory, distributions, modeling, parameter fitting, error estimation, statistical significance and cross-validation. In addition, the course will cover all statistical tests that are part of the generalized mixed effect models: n-way analysis of variance (ANOVA), multiple regression, analysis of covariance, logistic regression, between subjects, within subjects, mixed designs and designs with random factors. Students will also be introduced to statistical programming using the computer language R.	Psychology	Psychology 205 PSYCH205
Econ 220b	Industrial Organization	Continuation of 220A. The characteristics of regulated industries and the consequences of regulation for economic performance. 	Economics	Economics 220B ECON220B
Integbi 375	Teaching Colloquium: Graduate Student Instructor Training	Series of workshops and seminars involving graduate students and faculty participation. The main objectives of this course are to train graduate students to become effective instructors and to discuss important issues that graduate students face when teaching undergraduate classes. 	Integrative Biology	Integrative Biology 375 INTEGBI375
Chm eng 244	Kinetics and Reaction Engineering	Microscopic processes in chemical reactors: kinetics, catalysis. Interaction of mass and heat transfer in chemical processes. Performance of systems with chemical reactors. 	Chemical Engineering	Chemical Engineering 244 CHM ENG244
Mec eng 251	Heat Conduction	Analytical and numerical methods for the determination of the conduction of heat in solids. 	Mechanical Engineering	Mechanical Engineering 251 MEC ENG251
Ugis 198	Directed Group Study for Upper Division Students	Seminars for group study of topics not covered by regularly scheduled courses. Topics may vary from semester to semester. Students must have completed 60 units to be eligible to enroll. 	UGIS-UG Interdisc Studies	UGIS-UG Interdisc Studies 198 UGIS198
Stat 201a	Introduction to Probability at an Advanced Level	Distributions in probability and statistics, central limit theorem, Poisson processes, modes of convergence, transformations involving random variables. 	Statistics	Statistics 201A STAT201A
Colwrit 132	Introduction to the Craft of Short Fiction	This course in creative writing focuses on the craft of reading and writing short fiction.  The course provides an introduction to craft: how short fiction is generated, what its elements are, and how finished pieces work.  Students will explore these aspects of craft through careful study of models by published writers, and through writing and revising their own short pieces.	College Writing Programs	College Writing Programs 132 COLWRIT132
Integbi 283	Seminar in Vertebrate Evolution and Paleontology	Presentations and discussions of original research and new literature in vertebrate evolution and paleontology. Syllabus and reading list will vary as topics change from semester to semester. Open to Undergraduate students with permission. Enrollment limit: 20. 	Integrative Biology	Integrative Biology 283 INTEGBI283
Physics 233b	Standard Model and Beyond II	Advanced topics in the Standard Model and beyond, selected from: open problems in the Standard Model; supersymmetric models; grand unification; neutrino physics; flat and warped extra dimensions; axions; inflation; baryogenesis; dark matter; the multiverse; other current topics.	Physics	Physics 233B PHYSICS233B
Mcellbi 239k	Secretion and Cell Membrane Assembly	Cell surface growth with emphasis on the unicellular eukaryote S. cerevisiae. 	Molecular & Cell Biology	Molecular & Cell Biology 239K MCELLBI239K
Linguis 298	Special Group Study		Linguistics	Linguistics 298 LINGUIS298
German 160d	Franz Kafka and Thomas Mann	This course will concentrate on the major novels, novellas, and discursive works of two of the most important writers of the first half of the twentieth century. 	German	German 160D GERMAN160D
Integbi 139	Vertebrate Reproductive Biology	"This course is designed to be an interdisciplinary course. It will adopt a broad-based approach to explore the concepts of stress, health, and disease, with a particular focus on current primary literature. The course will cover multiple dimensions in the study of stress, which employ genetic, epigenetic, molecular, cellular, physiological, and cognitive approaches, especially in the context of endocrine and neuroscience research.  We will analyze the individual response to stress, how genetic and environmental factors play a role in it, how it translates to physiological and mental health and well-being vs. pathological conditions, and put that in a public health perspective. 
"	Integrative Biology	Integrative Biology 139 INTEGBI139
Espm 168	Political Ecology	Analysis of ecological problems in the U.S. from the standpoint of their roots in contemporary political and economic processes and their potential solutions within the present political system. Special emphasis on U.S. policy regarding energy and agricultural development, considered within the global context. 	Env Sci, Policy, & Mgmt	Env Sci, Policy, & Mgmt 168 ESPM168
Ld arch 254	Topics in Environmental Planning	Research seminar on selected topics in environmental planning. Seminars will include some guest lecturers, presentations by instructors, and presentations by students. Readings and requirements vary year-to-year depending on topic and staff. 	Landscape Arch & Env Plan	Landscape Arch & Env Plan 254 LD ARCH254
Civ eng 123n	Design of Reinforced Concrete Structures	Introduction to materials and methods of reinforced concrete construction; behavior and design of reinforced concrete beams and one-way slabs considering deflections, flexure, shear, and anchorage; behavior and design of columns; design of spread footings or other foundation elements; design of earthquake-resistant structures; introduction to prestressed concrete. 	Civil & Environmental Eng	Civil & Environmental Eng 123N CIV ENG123N
Chm eng 180	Chemical Engineering Economics	Optimal design of chemical processes and unit operations, emphasizing the interactions between technical and economic considerations. Analysis of process risks. Chemical and biomolecular process design in the presence of uncertainties. Interest rate determinants and their effects on chemical process feasibility and choices. Relationships between structure and behavior of firms in the chemical processing industries. Multivariable input-output analyses. 	Chemical Engineering	Chemical Engineering 180 CHM ENG180
History 130	American Foreign Policy	This course will explore the history of American foreign policy since 1776, focusing on diplomatic and military interactions and the evolution of American strategic thought. Students will also traverse the broader history of international relations and will engage some of the basic vocabulary of IR theory. Topics will range from the territorial expansion of the United States to the making of Cold War strategy and beyond. Students will be asked to consider how historical knowledge and reasoning might inform the making of foreign policy.	History	History 130 HISTORY130
Cy plan 140	Urban Design: City-Building and Place-Making	The course is concerned with the multidisciplinary field and practice of urban design. It includes a review of historical approaches to urban design and current movements in the field, as well as discussion of the elements of urban form, theories of good city form, scales of urban design, implementation approaches, and challenges and opportunities for the discipline. Learning from cities via fieldwork is an integral part of the course. 	City & Regional Planning	City & Regional Planning 140 CY PLAN140
Educ c148	Education and International Development	This course is designed to provide a comprehensive overview of international development education. Through the use of lectures, discussions, and multimedia presentations, students will examine three core themes: 1) the purpose of education; 2) how contemporary development policy conceptualizes education; 3) education as a tool for social transformation. To the extent possible, the course draws connections between theory and practical case studies of international education programs, policy statements, and initiatives.	Education	Education C148 EDUCC148
Econ c142	Applied Econometrics and Public Policy	This course focuses on the sensible application of econometric methods to empirical problems in economics and public policy analysis. It provides background on issues that arise when analyzing non-experimental social science data and a guide for tools that are useful for empirical research. By the end of the course, students will have an understanding of the types of research designs that can lead to convincing analysis and be comfortable working with large scale data sets. 	Economics	Economics C142 ECONC142
Mec eng 165	Ocean-Environment Mechanics	Ocean environment. Physical properties and characteristics of the oceans. Global conservation laws. Surface-waves generation. Gravity-wave mechanics, kinematics, and dynamics. Design consideration of ocean vehicles and systems. Model-testing techniques. Prediction of resistance and response in waves--physical modeling and computer models. 	Mechanical Engineering	Mechanical Engineering 165 MEC ENG165
Soc wel 116	Current Topics in Social Welfare	Course examines current problems and issues in the field of social welfare. 	Social Welfare	Social Welfare 116 SOC WEL116
Mat sci 120	Materials Production	Economic and technological significance of metals and other materials. Elementary geology (composition of lithosphere, mineralization). Short survey of mining and mineral processing techniques. Review of chemical thermodynamics and reaction kinetics. Principles of process engineering including material, heat, and mechanical energy balances. Elementary heat transfer, fluid flow, and mass transfer. Electrolytic production and refining of metals. Vapor techniques for production of metals and coatings. 	Materials Science & Eng	Materials Science & Eng 120 MAT SCI120
Psych 102	Methods for Research in Psychological Sciences	Lecture and computer lab course on advanced data analysis techniques used by researchers in psychology. The course will cover programming techniques in R and data analysis methods that include modeling, multivariate statistics, and data reduction and visualization techniques. The following topics will be covered: generalized linear model (includes logistic regression), discriminant analysis (includes multivariate ANOVA), principal component analysis, and factor analysis. 	Psychology	Psychology 102 PSYCH102
Ugis 162c	Race and Politics in the American City	The purpose of this seminar is to equip students to think deeply and critically about racial politics in the American city in general--and about racial politics in the American city of Washington, D.C. in particular. The seminar will begin with an introduction to a set of concepts fundamental to our subject--race, consciousness, racism, political action - and then move on to central features of city politics with race prominently in mind.	UGIS-UG Interdisc Studies	UGIS-UG Interdisc Studies 162C UGIS162C
Math 136	Incompleteness and Undecidability	Functions computable by algorithm, Turing machines, Church's thesis. Unsolvability of the halting problem, Rice's theorem. Recursively enumerable sets, creative sets, many-one reductions. Self-referential programs. Godel's incompleteness theorems, undecidability of validity, decidable and undecidable theories. 	Mathematics	Mathematics 136 MATH136
Integbi 154	Plant Population and Community Ecology	An introduction to ecology of plants, covering individuals, populations, communities, and global processes. Topics include: form and function, population ecology, life histories, community structure and dynamics, disturbance and succession, diversity and global change. 	Integrative Biology	Integrative Biology 154 INTEGBI154
Histart 35	Art and Architecture in Japan	This course is an introduction to art and architecture in Japan. It is intended for newcomers to the history of art and/or to the study of Japanese history and culture. Lectures will proceed chronologically, beginning with the archaeological objects and tumuli of neolithic Japan and ending with the popular graphic arts of the seventeenth to nineteenth centuries and modern transformations of art. 	History of Art	History of Art 35 HISTART35
Film 20	Film and Media Cultures	"This course is intended to introduce undergraduates to the study of a range of media, including photography, film, television, video, and print and digital media. The course will focus on questions of medium ""specificity"" or the key technological/material, formal and aesthetic features of different media and modes of address and representation that define them. Also considered is the relationship of individual media to time and space, how individual media construct their audiences or spectators, and the kinds of looking or viewing they enable or encourage. The course will discuss the ideological effects of various media, particularly around questions of racial and sexual difference, national identity, capitalism, and power."	Film	Film 20 FILM20
History 159b	European Economic History	The Industrial Revolution and the rise of the European economy to world dominance in the 19th century, emphasizing the diffusion of the industrial system and its consequences, the world trading system, and the rise of modern imperialism. 	History	History 159B HISTORY159B
Soc wel 198bc	Berkeley Connect in Social Welfare	Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department faculty and alumni, and go on field trips to campus resources. Students are not required to be declared majors in order to participate.	Social Welfare	Social Welfare 198BC SOC WEL198BC
Natamst 175	History of Native Americans in California	History of the Native Americans of California with emphasis on the lifeways, mores, warfare, and relations with the United States government. Attention will be given to the background and evolution of acculturation up to the present. 	Native American Studies	Native American Studies 175 NATAMST175
Educ 201b	Seminars in Intellectual Development	Intensive examination of advanced topics, which will vary from year to year in the areas denoted by the titles of the following sections: #  (1) Cognitive Development #  (2) Learning and Memory Development #  (3) Language. 	Education	Education 201B EDUC201B
Linguis 297	Research Mentorship	Mentor undergraduates in research on projects in the subfields of linguistics, sponsored by a faculty member; written report required. 	Linguistics	Linguistics 297 LINGUIS297
Mcellbi 269t	Research Review in Neurobiology: Processing of Visual Information in the Mammalian Brain	Review of current literature and discussion of original research. 	Molecular & Cell Biology	Molecular & Cell Biology 269T MCELLBI269T
Physics 251	Introduction to Graduate Research in Physics	A survey of experimental and theoretical research in the Department of Physics, designed for first-year graduate students. One regular meeting each week with supplementary visits to experimental laboratories. Meetings include discussions with research staff. 	Physics	Physics 251 PHYSICS251
Mec eng 168	Mechanics of Offshore Systems 	This course covers major aspects of offshore engineering including ocean environment, loads on offshore structures, cables and mooring, underwater acoustics and arctic operations.	Mechanical Engineering	Mechanical Engineering 168 MEC ENG168
Sociol 271b	Methods of Sociological Research	A three-semester sequence course introducing logical and analytic techniques commonly employed in social science research. The methodological problems encountered in field work, historical and comparative inquiry, experimental research, and survey analysis. The first semester concentrates on techniques for gathering evidence; the second and third semesters focuses on beginning and intermediate numerical techniques for analyzing evidence. 	Sociology	Sociology 271B SOCIOL271B
Psych 134	Field Experience in Clinical and Social Change	This course will provide students with an introduction to Health Psychology. Students will learn about measurement of psychological, behavioral, and biological constructs; incidence and prevalence of psychological and medical disorders; introductions to endocrinology, immunology, and psychophysiology and how these systems are thought to relate psychology to health; as well as introductions to how science is working to understand psychology and health in the laboratory and across the population.	Psychology	Psychology 134 PSYCH134
Colwrit 1	Grammar and Vocabulary of Written English	This course is intended to serve as a course for students who are non-native speakers of English and who wish to work on their written English. The purpose of the course is to develop students' ability to edit their own writing and to identify high frequency non-idiomatic uses of English. Intensive, individualized practice will be provided for students from different language backgrounds. 	College Writing Programs	College Writing Programs 1 COLWRIT1
Arabic 104b	Classical Arabic Prose	This course is designed for students who wish to concentrate on Arabic of the classical periods of Arab and Islamic civilization. Reading and analysis of literary texts of various genres, including essays, biography, and travel literature. 	Arabic	Arabic 104B ARABIC104B
Gpp 196	Global Poverty and Practice Capstone Course	This course is intended to provide students with a forum for reflection on the Practice Experience component of the Global Poverty and Practice minor. Lessons learned in the minor will be applied to the realm of public discourse through various forms of public scholarship. Issues of power and privilege, civic engagement, and tensions between tourism vs. travel and community service vs. engagement will be addressed. Students will also explore academic and professional post-graduation options. 	Global Poverty & Practice	Global Poverty & Practice 196 GPP196
Latamst 10	Introduction to Latin American Studies	This course is intended as a lower division, interdisciplinary core course for students planning to pursue the Latin American Studies major, as well as other interested students. The aim is to provide an introduction to the field that integrates the offerings from the various disciplines. Particular attention will be given to the analysis of the relationship between cultural expression and the politics, economy, and history of the region. 	Latin American Studies	Latin American Studies 10 LATAMST10
Bio eng 198	Directed Group Study for Advanced Undergraduates	Group study of a selected topic or topics in bioengineering, usually relating to new developments. 	Bioengineering	Bioengineering 198 BIO ENG198
Rhetor 132t	Auteur in Film	The study of films from the perspective of directorial style, theme, or filmmaking career. This course may focus on a single or several directors. 	Rhetoric	Rhetoric 132T RHETOR132T
